Catalog Number,Product Description,Fisher Stated Sales,Fisher Stated List Price,Fisher Stated Qty (SU + AU),Wisconsin Cost,Nebraska Cost,Penn State Cost,Wisconsin Quantity,Nebraska Quantity,Penn State Quantity,Wisconsin Average Cost Per Item,Nebraska Average Cost Per Item,Penn State Average Cost Per Item,Total Cost,Total Quantity
1496130,1496130LT DSP 16X125MM 1000/CS,5071.43,227.5,88.0,2787.72,226.52,113.16,49,4,2,56.89,56.63,56.58,3127.4,55
1496131,TUBE CULT DSP 16X150MM 1000/CS,7982.95,232,127.0,4532.04,1445.55,437.91,67,23,7,67.64,62.85,62.56,6415.5,97
1496132,TUBE CULT DSP 18X150MM 500/CS,11184.11,148.6,249.0,4434.38,616.68,267.4,98,14,6,45.25,44.05,44.57,5318.46,118
1496133,TUBE CULT DSP 20X150MM 500/CS,2907.14,232,39.0,1672.32,73.6,0.0,22,1,0.0,76.01,73.6,0.0,1745.92,23
1496134,TUBE CULT DSP 25X150MM 500/CS,2140.56,334.5,16.0,411.24,1051.42,0.0,3,8,0.0,137.08,131.43,0.0,1462.66,11
1496226K,CULT TUBE BOR SC 20X125 500/CS,2083.95,479.5,10.0,1877.58,0.0,0.0,9,0.0,0.0,208.62,0.0,0.0,1877.58,9
14962C,TUBE CULT DISP 16X150 1000/CS,2529.66,703,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150152632,FB 18L LOW TEMP INCUBATOR,2872.66,865,6.0,509.57,1449.76,0.0,1,3,0.0,509.57,483.25,0.0,1959.33,4
15079626,TRACEABLELIVE -90 THERMOMETER,2428.2,442.5,9.0,2184.16,0.0,0.0,8,0.0,0.0,273.02,0.0,0.0,2184.16,8
15100159,PLT384WLLVBLKUBNBS50/CS,2188,804,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15100175,96WLULA PLT24/CS,1733.12,561.5,4.0,1733.12,0.0,0.0,4,0.0,0.0,433.28,0.0,0.0,1733.12,4
15111073,9MM BLACK CAP T/S 2000/PK,1385.7,792.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15111086,9MM BLUE CAP CUT T/S 100/PK,1445.5,65.2,30.0,0.0,1445.5,0.0,0.0,30,0.0,0.0,48.18,0.0,1445.5,30
15111474,INSERT CON 350UL PULLD PT100PK,2534,72,50.0,2534.0,0.0,0.0,50,0.0,0.0,50.68,0.0,0.0,2534.0,50
15124560,THRML TRNSFR PRNTR RIBBN 2X150,1473.06,106.8,21.0,1473.06,0.0,0.0,21,0.0,0.0,70.15,0.0,0.0,1473.06,21
15182702A,BIOPSY CASSET HING WHT 1500/CS,1619.21,610.5,6.0,253.82,300.01,263.87,1,1,1,253.82,300.01,263.87,817.7,3
15182706,MACROSETTE CASS TRFLO 250/PK,2362.11,237.5,12.0,83.54,400.78,0.0,1,2,0.0,83.54,200.39,0.0,484.32,3
1518848,PLUSGOLD FRZN TISS SLDS 144/PK,4887.62,159.8,31.0,727.58,0.0,0.0,1,0.0,0.0,727.58,0.0,0.0,727.58,1
15200909,ALL-IN-ONE STD. PH BUFFER KIT,2003.28,125.06,25.0,344.02,525.65,306.02,4,6,5,86.0,87.61,61.2,1175.69,15
15336100,MECHANICAL ULTRASONIC BATHS,1661,647.5,5.0,666.04,328.1,0.0,2,1,0.0,333.02,328.1,0.0,994.14,3
15336101,MECHANICAL ULTRASONIC BATHS,2176.57,874.5,4.0,1607.82,0.0,568.75,3,0.0,1,535.94,0.0,568.75,2176.57,4
15336111,MECH. HEATER ULTRASONIC BATH,1343.15,958.5,2.0,676.23,0.0,0.0,1,0.0,0.0,676.23,0.0,0.0,676.23,1
15340100,HARD TISSUE OMNI TIPS 25/PK,1651.54,505,5.0,1651.54,0.0,0.0,5,0.0,0.0,330.31,0.0,0.0,1651.54,5
15340151,BEAD TUBE 2ML 2.4MM METAL 50PK,2515.39,205,23.0,1310.08,542.45,545.95,12,5,5,109.17,108.49,109.19,2398.48,22
15340153,BEAD TUBE 2ML 1.4MM CRMC 50PK,10423.1,205,88.0,436.72,510.1,0.0,4,4,0.0,109.18,127.53,0.0,946.82,8
15340154,BEAD TUBE 2ML 2.8MM CRMC 50PK,5102.23,205,44.0,2983.04,0.0,0.0,24,0.0,0.0,124.29,0.0,0.0,2983.04,24
15340155,BEAD TUBE 7ML 2.4MM METAL 50PK,1467.15,205,11.0,1467.15,0.0,0.0,11,0.0,0.0,133.38,0.0,0.0,1467.15,11
15340162,REINFORCED 2ML TUBES 500PK,2102.92,537,7.0,1182.59,0.0,629.84,4,0.0,2,295.65,0.0,314.92,1812.43,6
15350107B,CRYOBOX 9X9 PC 4/PK,9155.81,124,125.0,7586.83,1131.72,133.29,116,4,3,65.4,282.93,44.43,8851.84,123
15350110B,PIPET JAR HDPE 61/2X27IN,1269.54,643.5,1.0,0.0,1269.54,0.0,0.0,1,0.0,0.0,1269.54,0.0,1269.54,1
1535050,FRZCNTD RT1.0/1.2/1.5/2.0ML1EA,7009.63,187.7,63.0,2242.08,2343.64,1159.67,20,20,11,112.1,117.18,105.42,5745.39,51
1535051,LABTOP COOLER 32 PLACE 1EA,2463.68,487.5,9.0,0.0,977.36,1243.72,0.0,4,4,0.0,244.34,310.93,2221.08,8
1535061,LABTOP COOLR JR 12 PLACE 1EA,1533.8,263,10.0,1382.71,0.0,0.0,9,0.0,0.0,153.63,0.0,0.0,1382.71,9
1535062,QUICK CHILL UNIT PC 12PLC 1/EA,1573.27,335,9.0,704.4,343.15,525.72,4,2,3,176.1,171.57,175.24,1573.27,9
15497020,NAPCO CO2 GAS REGULATOR,7051.68,764.5,16.0,1822.22,2567.06,0.0,4,6,0.0,455.56,427.84,0.0,4389.28,10
15497022,NAPCO 8000 HEPA FILTER,19700.48,128.8,192.0,11385.04,717.23,1027.58,111,7,10,102.57,102.46,102.76,13129.85,128
15497023,NAPCO 8000 HEPA FILTER PK,2883.36,423,9.0,1350.14,339.99,0.0,4,1,0.0,337.54,339.99,0.0,1690.13,5
15497024,NAPCO 8000 FILTER KIT,12982.57,207.5,80.0,1488.72,1742.88,0.0,9,12,0.0,165.41,145.24,0.0,3231.6,21
1590110R,RAINBOW PACK 25MMX13M 12/CS,11567.37,181,97.0,4538.09,2466.57,1356.05,37,19,11,122.65,129.82,123.28,8360.71,67
15901110,LF ATOCLVTP 0.75IN BLK 4CS,6135.26,81.2,111.0,2830.9,1422.88,768.29,51,24,14,55.51,59.29,54.88,5022.07,89
15901111,LF ATOCLVTP 0.75IN BLK EA,1923.62,20.55,187.0,710.24,416.39,212.57,50,28,15,14.2,14.87,14.17,1339.2,93
15901112,LF ATOCLVTP 1IN BLK 3CS,2467.71,62.4,58.0,883.63,458.6,341.84,21,10,8,42.08,45.86,42.73,1684.07,39
15901113,LF ATOCLVTP 1IN BLK EA,2116.46,20.8,150.0,409.46,229.94,88.02,28,15,6,14.62,15.33,14.67,727.42,49
1590120A,TAPE WHITE 19MMX55M 4/CS,1927.18,112.4,35.0,604.57,240.12,154.78,8,3,6,75.57,80.04,25.8,999.47,17
1590125A,TAPE WHITE 25MMX55M 3/CS,2357.27,111.3,37.0,1752.95,479.74,22.42,23,6,1,76.22,79.96,22.42,2255.11,30
159015R,RAINBOW PACK 19MMX13M 16/CS,14101.83,181,162.0,7174.17,2771.14,1822.4,85,33,15,84.4,83.97,121.49,11767.71,133
15901A,TAPE WHITE 13MMX13M 6/PK,1250.37,61.9,16.0,0.0,88.32,83.12,0.0,2,2,0.0,44.16,41.56,171.44,4
15901R,RAINBOW PACK 13MMX13M 24/CS,6219.46,203,91.0,2426.56,782.5,1272.87,40,13,9,60.66,60.19,141.43,4481.93,62
15912,DISPENSR MULTI TAP 500IN METAL,1747.48,66.3,42.0,518.13,415.24,482.21,11,12,10,47.1,34.6,48.22,1415.58,33
15930C,LASERLABEL 1.5 WHT 1700/CS,1300.43,132.1,15.0,526.79,447.92,0.0,6,5,0.0,87.8,89.58,0.0,974.71,11
15935,TAPE WHITE 2.54X5486CM/RL,2288.37,111.3,32.0,327.96,431.58,0.0,2,3,0.0,163.98,143.86,0.0,759.54,5
16000104,ALCONOX CLNR 4LB BOX,3701.3,121.48,60.0,2158.17,493.89,493.65,31,7,7,69.62,70.56,70.52,3145.71,45
16000126,LIQUINOX CRITICAL CLNR,2026.92,213.13,21.0,568.49,708.46,188.18,5,6,2,113.7,118.08,94.09,1465.13,13
16105MI,ANTI-PHOSPHOTYROSINE ANTIBODY,1266.64,694,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161410,SB 431542 10 MG,3529.56,355,11.0,3207.12,0.0,322.44,10,0.0,1,320.71,0.0,322.44,3529.56,11
16157,SSDNA/PROTEIN A AG 2.5ML,1258.33,388,4.0,645.68,313.56,0.0,2,1,0.0,322.84,313.56,0.0,959.24,3
16663,MAGNA CHIP PROTEIN A/G MAGNETI,4858.89,346.5,17.0,279.53,0.0,4579.36,1,0.0,16,279.53,0.0,286.21,4858.89,17
1674589,ANTI-ANDROGEN RECEPTOR,1199.88,433,3.0,0.0,1199.88,0.0,0.0,3,0.0,0.0,399.96,0.0,1199.88,3
1675951,ANTI-BETA-III TUBULIN,1696.6,479.5,4.0,1696.6,0.0,0.0,4,0.0,0.0,424.15,0.0,0.0,1696.6,4
16800161,5MM 103.5MM L SMPLEJET 100/PK,2515.72,143.3,26.0,2515.72,0.0,0.0,26,0.0,0.0,96.76,0.0,0.0,2515.72,26
1690HMB050,RHHMGB1 CF 50 UG,1240.02,514.5,3.0,1240.02,0.0,0.0,3,0.0,0.0,413.34,0.0,0.0,1240.02,3
17000313,MICROFLEX 92134 SIZE S7.5-8,1476.33,210.65,11.0,256.92,1083.6,0.0,2,8,0.0,128.46,135.45,0.0,1340.52,10
17230A,NORTON 180 CLR SAF APEC,2653.23,15.64,41.0,2660.73,0.0,0.0,43,0.0,0.0,61.88,0.0,0.0,2660.73,43
17441002,PF-065-095-ECO-TL 1000/CS-L,1243.2,384.91,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17463007,VESPHENE III SE ; 1 GAL. X 4 P,1301.2,446.62,5.0,696.72,196.48,0.0,2,1,0.0,348.36,196.48,0.0,893.2,3
17463012,DART AIR REMOVAL TEST,7615.76,672.5,14.0,0.0,7615.76,0.0,0.0,14,0.0,0.0,543.98,0.0,7615.76,14
17463024,CIP 100 5 GAL,1605.46,498.89,6.0,1398.66,0.0,0.0,5,0.0,0.0,279.73,0.0,0.0,1398.66,5
176010R,(+/-)-BLEBBISTATIN 10 MG,1972.68,360.5,6.0,1972.68,0.0,0.0,6,0.0,0.0,328.78,0.0,0.0,1972.68,6
17900914,GLVS SCION700 NITRL MD 300PK,1946.9,68.8,13.0,1616.26,330.64,0.0,3,10,0.0,538.75,33.06,0.0,1946.9,13
17900928,GLVS FORTIS500 NITRL SM PK/100,2937.78,37.08,19.0,2257.22,0.0,680.56,14,0.0,5,161.23,0.0,136.11,2937.78,19
17900929,GLVS FORTIS500 NITRL MD PK/100,4523.95,37.08,24.0,2550.91,0.0,1973.04,12,0.0,12,212.58,0.0,164.42,4523.95,24
17900930,GLVS FORTIS500 NITRL LG,2744.81,37.08,48.0,799.56,0.0,1291.55,8,0.0,10,99.94,0.0,129.16,2091.11,18
17986028,A35 CVRLL 2NDGEN XL HD/BT 25CS,4872,311,25.0,0.0,0.0,4872.0,0.0,0.0,25,0.0,0.0,194.88,4872.0,25
17986029,A35 CVRLL 2NDGEN 2X HD/BT 25CS,4872,311,25.0,0.0,0.0,4872.0,0.0,0.0,25,0.0,0.0,194.88,4872.0,25
17986277,EVA PAPR BATTERY 7-8 HR,1733.7,491,6.0,0.0,0.0,1733.7,0.0,0.0,6,0.0,0.0,288.95,1733.7,6
17986282,EVA PAPR HEPA FILTER 6CS,1230.78,315.5,6.0,0.0,0.0,1230.78,0.0,0.0,6,0.0,0.0,205.13,1230.78,6
17987116C,APRON CT VINYL 8ML SNAP TIES L,2355.53,566.5,17.0,0.0,0.0,2355.53,0.0,0.0,17,0.0,0.0,138.56,2355.53,17
17988016,SHOECOV DURATRAC BLU LG 300/CS,2520,319.5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17988046,COV ISO CLN STR ELWRAN XL 25CS,4831.26,941.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17988076,FROCK ISO BULK XL 30/CS,1703.73,437,8.0,1703.73,0.0,0.0,8,0.0,0.0,212.97,0.0,0.0,1703.73,8
17988107,SLEEVE ISO BULK 100/CS,4310.48,283,30.0,3694.23,537.38,78.87,34,3,1,108.65,179.13,78.87,4310.48,38
17988113,HOOD ISO CLN STERILE 100/CS,3279.72,984,5.0,0.0,393.72,0.0,0.0,1,0.0,0.0,393.72,0.0,393.72,1
180000,BAG SPEC BIOH 4X6 PRINTED M/CS,1722.74,222,37.0,893.73,703.17,0.0,12,21,0.0,74.48,33.48,0.0,1596.9,33
180003,BAG SPEC BIOH 6X9 PRINTED M/CS,3460.51,394.5,27.0,3355.09,0.0,52.14,25,0.0,1,134.2,0.0,52.14,3407.23,26
180004,BAG SPEC BIOH STAT M/CS,2114.84,258,27.0,0.0,1533.97,0.0,0.0,17,0.0,0.0,90.23,0.0,1533.97,17
180005,BAG SPEC BIOH 6X9 PRTPAD 500CS,39803.51,94.7,880.0,177.24,38812.07,0.0,4,858,0.0,44.31,45.24,0.0,38989.31,862
180009,BAG SPEC BIOH 12X15 PRINT M/CS,5270.02,426.5,27.0,0.0,5074.84,0.0,0.0,26,0.0,0.0,195.19,0.0,5074.84,26
18001017,SPATULA PP  BLUE 210MM 300/PK,2031.67,72.7,45.0,1158.61,121.58,307.32,22,5,6,52.66,24.32,51.22,1587.51,33
18009122,SHOECVR IRIS 240/CS XL BG,1987.31,39.17,41.0,0.0,0.0,1987.31,0.0,0.0,41,0.0,0.0,48.47,1987.31,41
18022829,LAB COAT WHITE SM 30-34 25/CS,2019.75,645.5,9.0,592.42,0.0,0.0,2,0.0,0.0,296.21,0.0,0.0,592.42,2
18022830,LAB COAT WHITE MED 36-40 25/CS,2512.27,645.5,10.0,1184.84,213.77,0.0,4,1,0.0,296.21,213.77,0.0,1398.61,5
18022831,LAB COAT WHITE LG 42-46 25/CS,1554.55,645.5,6.0,592.42,0.0,213.77,2,0.0,1,296.21,0.0,213.77,806.19,3
18022832,LAB COAT WHITE XLG 48-52 25/CS,2107.02,645.5,6.0,592.42,757.3,0.0,2,2,0.0,296.21,378.65,0.0,1349.72,4
18025648,GWN PROVENT WAIST TIE LG 30CS,2110.61,542.5,8.0,2110.61,0.0,0.0,8,0.0,0.0,263.83,0.0,0.0,2110.61,8
18025649,GWN PROVENT WAIST TIE XL 30CS,1643.58,542.5,6.0,1643.58,0.0,0.0,6,0.0,0.0,273.93,0.0,0.0,1643.58,6
180401253,LTXEXM GLV PF 9 100/PK MLTXEX,2712.52,28.9,104.0,780.52,0.0,1932.0,4,0.0,100,195.13,0.0,19.32,2712.52,104
180401254,LTXEXM GLV PF9 100/PK LGLTXEX,1932,28.9,100.0,0.0,0.0,1932.0,0.0,0.0,100,0.0,0.0,19.32,1932.0,100
180401255,LTXEXM GLV PF9 80/PKXLLTXEXM,1932,28.9,100.0,0.0,0.0,1932.0,0.0,0.0,100,0.0,0.0,19.32,1932.0,100
18041141,GLV ROYALTCH300 NTRL SM PK/300,7217.29,79.3,43.0,4959.83,90.0,833.38,32,3,4,154.99,30.0,208.34,5883.21,39
18041142,GLV ROYALTCH300 NTRL MD PK/300,5194.84,79.3,22.0,3261.61,0.0,417.23,13,0.0,2,250.89,0.0,208.62,3678.84,15
18041143,GLV ROYALTCH300 NTRL LG PK/300,2782.19,51,23.0,2115.15,0.0,60.64,12,0.0,1,176.26,0.0,60.64,2175.79,13
18045,AUTOCLIPS 9MM 100PK,8874.46,138.4,27.0,1252.49,746.09,1977.55,11,1,5,113.86,746.09,395.51,3976.13,17
1812,WHRLPK BAG RND BTM 500/PK,1819.28,400,5.0,294.85,0.0,0.0,1,0.0,0.0,294.85,0.0,0.0,294.85,1
18125,WHIRL-PAK FILTER BAG 250/PK,4248.12,540,9.0,906.74,2850.82,0.0,3,5,0.0,302.25,570.16,0.0,3757.56,8
181251,POUCH SSL AUTOCL 3.5X9IN 200PK,2681.06,83.3,60.0,860.02,115.55,214.67,28,2,4,30.71,57.77,53.67,1190.24,34
181254,PUCH SS AUTOCL 5-1/4X10 200/PK,3215.14,109.9,37.0,1849.98,149.38,203.5,16,2,3,115.62,74.69,67.83,2202.86,21
181255,7X13INSLF SEL ATCLV PUCH 200PK,3167.41,190.7,17.0,2679.22,130.43,357.76,13,1,3,206.09,130.43,119.25,3167.41,17
181257,10X15INSLF SEL ATCLV PCH 100PK,2149.36,203,15.0,1609.68,279.68,119.96,11,2,1,146.33,139.84,119.96,2009.32,14
18125B,BAGS WHIRL PAK 18 OZ 500/PK,1886.25,244.5,3.0,1817.15,69.1,0.0,2,1,0.0,908.58,69.1,0.0,1886.25,3
18125M,BAG SAMPLING CLEAR 2 OZ 500/PK,5352.38,138,26.0,101.18,2491.8,61.4,1,11,1,101.18,226.53,61.4,2654.38,13
181269,WHRLPK FLTR BAG 6X9 24OZ 250PK,5807.02,396.5,14.0,0.0,5121.06,0.0,0.0,10,0.0,0.0,512.11,0.0,5121.06,10
18126C,BAGS WHIRL-PAK 18 OZ 500/PK,1290.66,251,7.0,738.06,0.0,0.0,4,0.0,0.0,184.51,0.0,0.0,738.06,4
181294,WHIRL-PAK FILTER BAG 250/PK,2460.37,323,11.0,854.24,1425.66,0.0,4,6,0.0,213.56,237.61,0.0,2279.9,10
1814A,BG BIO ORNGE 19X14 200/CS,1286.48,269,22.0,1032.48,0.0,70.5,16,0.0,2,64.53,0.0,35.25,1102.98,18
1814B,FB BG AUTO ORNG 19X23 200/CS,4534.72,419.5,46.0,3525.2,503.6,179.02,35,5,1,100.72,100.72,179.02,4207.82,41
1814C,FB BG AUTO ORNG 25X35 200CS,25438.16,599,157.0,18917.4,461.4,3870.28,123,3,14,153.8,153.8,276.45,23249.08,140
1814D,FB BG AUTO ORNG 38X47 100/CS,1634.03,791.5,9.0,1329.93,0.0,0.0,7,0.0,0.0,189.99,0.0,0.0,1329.93,7
18151,YG AUTO ORNG 11X8.5 100/PK,1197.64,48.35,34.0,1019.07,46.44,18.71,27,4,1,37.74,11.61,18.71,1084.22,32
181517,POUCH SFTY SHRP BIOHZRD 200/PK,1397.26,345.5,9.0,276.07,310.84,188.67,2,2,1,138.03,155.42,188.67,775.58,5
18152,WIRE BAG HOLDER FOR 01-815-1,1186.14,47,44.0,306.28,205.28,400.2,12,8,12,25.52,25.66,33.35,911.76,32
18155,BAG CLAV PP 24X30 CLR 100/PK,2795.27,310.5,22.0,545.66,136.25,0.0,4,1,0.0,136.41,136.25,0.0,681.91,5
1815B,BG AUTO ORNG 24X30 100/CS,1343.12,256.5,21.0,1107.36,43.36,0.0,18,1,0.0,61.52,43.36,0.0,1150.72,19
1815C,BG AUTO ORNG 35X24 100/CS,4204.05,359.5,50.0,4053.75,67.14,0.0,47,1,0.0,86.25,67.14,0.0,4120.89,48
18161D,BAG ZIP SEAL PE 2MIL 5X8IN MCS,4834.44,116.5,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18167002,LATEX EXAM EGRIP MAX SM 100PK,3125,25.64,10.0,3125.0,0.0,0.0,10,0.0,0.0,312.5,0.0,0.0,3125.0,10
18266,BG PP CLRPLN 24X30 200/CS,1234.89,657.5,9.0,960.47,137.21,0.0,7,1,0.0,137.21,137.21,0.0,1097.68,8
18267,BG PP CLRPLN 24X36 200/CS,1674.4,583.5,13.0,899.28,339.8,0.0,6,3,0.0,149.88,113.27,0.0,1239.08,9
1826B,BG AUTO PP CLR 24X30 200/CS,6211.38,594,44.0,713.25,0.0,77.43,5,0.0,1,142.65,0.0,77.43,790.68,6
1826C,BG AUTO PP CLR 24X36 200/CS,8135.04,706,48.0,2881.16,0.0,0.0,17,0.0,0.0,169.48,0.0,0.0,2881.16,17
1826D,BG AUTO PP CLR 31X38 200/CS,12421.54,941,56.0,5421.12,1324.06,2916.68,24,10,7,225.88,132.41,416.67,9661.86,41
1826E,BG AUTO PP CLR 37X48 100/CS,22321.58,598.5,147.0,12051.27,750.56,0.0,77,8,0.0,156.51,93.82,0.0,12801.83,85
1827D,BG AUTO PE CLR 24X36 200/CS,6307.98,625.5,42.0,750.95,0.0,0.0,5,0.0,0.0,150.19,0.0,0.0,750.95,5
1828C,BG AUTO PP RED 19X23 200/CS,1363.49,427,16.0,717.78,323.77,165.37,7,5,2,102.54,64.75,82.69,1206.92,14
1828D,BG AUTO PP RED 25X35 200/CS,4878.72,626,26.0,1607.4,1050.34,2009.14,10,7,7,160.74,150.05,287.02,4666.88,24
1828E,BG AUTO PP RED 37X48 100/CS,5893.96,608.5,46.0,291.36,5115.42,0.0,3,37,0.0,97.12,138.25,0.0,5406.78,40
1829F,BG AUTO PE RED 33X30 200/CS,1552.5,718.5,9.0,1552.5,0.0,0.0,9,0.0,0.0,172.5,0.0,0.0,1552.5,9
18330A,TECHNICLOTH II 9INX9IN 3000/CS,6034.23,548.32,19.0,6034.23,0.0,0.0,19,0.0,0.0,317.59,0.0,0.0,6034.23,19
18335000,STRL70% IPA 12-32OZ BTLS 12CS,1276.74,203.23,8.0,1108.03,0.0,0.0,7,0.0,0.0,158.29,0.0,0.0,1108.03,7
18372,SWAB MED FOAM L HNDL 6IN 500PK,3628.1,87.63,10.0,3628.1,0.0,0.0,10,0.0,0.0,362.81,0.0,0.0,3628.1,10
1841,EMBEDDING MOLD 40X22MM 264/CS,1239.25,350,5.0,0.0,260.17,0.0,0.0,1,0.0,0.0,260.17,0.0,260.17,1
1845SH100,RHSHH-N (C24II SUBSTITU 100 UG,1486.64,902.5,2.0,1486.64,0.0,0.0,2,0.0,0.0,743.32,0.0,0.0,1486.64,2
18602115,DEXTROSE ANHYD USP EP BP JP,3548.76,797,6.0,0.0,3548.76,0.0,0.0,6,0.0,0.0,591.46,0.0,3548.76,6
18614485,TOLUENE TECHNICAL 20 L,1564.55,437.5,5.0,0.0,1564.55,0.0,0.0,5,0.0,0.0,312.91,0.0,1564.55,5
18800101,BDD BACDOWN DISINFECTANT 1GAL,1653.7,68,12.0,555.61,365.74,0.0,5,2,0.0,111.12,182.87,0.0,921.35,7
189992748A,GLOVE NITRILE PF TNT S 100/PK,1234.4,28.44,38.0,916.98,0.0,101.84,33,0.0,4,27.79,0.0,25.46,1018.82,37
189992748B,GLOVE NITRILE PF TNT M 100/PK,2905.06,28.44,34.0,2141.41,42.6,16.52,25,2,1,85.66,21.3,16.52,2200.53,28
189992748C,GLOVE NITRILE PF TNT L 100/PK,2334.43,28.44,43.0,737.86,0.0,101.84,17,0.0,4,43.4,0.0,25.46,839.7,21
18999473,RESP N95 20/PK,9939.86,61.6,100.0,77.12,1390.62,357.09,5,6,3,15.42,231.77,119.03,1824.83,14
189994774,MSK CR CLS W/KNIT EARLPS 500CS,1989.31,380.43,17.0,120.92,0.0,0.0,1,0.0,0.0,120.92,0.0,0.0,120.92,1
19000586,BMP41-51-53 LABELS 480/CTR,2527.5,114.6,35.0,2527.5,0.0,0.0,35,0.0,0.0,72.21,0.0,0.0,2527.5,35
19002711,RESP N100 W/VLV FACE SELRESP,3137.21,18.23,16.0,3137.21,0.0,0.0,16,0.0,0.0,196.08,0.0,0.0,3137.21,16
19002713,RESP N95 W/VALV PART 10/PK,1462.97,64.8,23.0,1102.51,32.45,0.0,19,1,0.0,58.03,32.45,0.0,1134.96,20
19014690D,GLV ACITEK PF LTX CR SZ8 72/CS,1323.86,540.5,7.0,0.0,0.0,1323.86,0.0,0.0,7,0.0,0.0,189.12,1323.86,7
19014690E,GLV ACITEK PF LTX CR SZ9 72/CS,1364.29,540.5,5.0,0.0,0.0,1364.29,0.0,0.0,5,0.0,0.0,272.86,1364.29,5
19014690F,GLV ACITEK PF LTX CR SZ10 72CS,2720.29,540.5,17.0,0.0,0.0,1816.29,0.0,0.0,9,0.0,0.0,201.81,1816.29,9
19022860,LAB JACKET WH MED 36-40 25/CS,1235,444.5,5.0,930.0,0.0,0.0,4,0.0,0.0,232.5,0.0,0.0,930.0,4
19028301,GWN ISO PROVENT ELAS WRIST,2119.9,853,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19033524,RESP DUST MIST SMALL 20/PK,3181.5,44.85,46.0,0.0,0.0,390.91,0.0,0.0,4,0.0,0.0,97.73,390.91,4
19037436,INFECON 3000 INFCT SHIP 12/PK,2403.4,559.5,8.0,2403.4,0.0,0.0,8,0.0,0.0,300.43,0.0,0.0,2403.4,8
19039565,TR-332 HI CAPCITY BTTRY 1/CS,1810.44,528,6.0,4600.54,0.0,0.0,36,0.0,0.0,127.79,0.0,0.0,4600.54,36
19039580,HIGH EFF FILTER 5/CS,1445.55,520.5,7.0,1171.86,273.69,0.0,6,1,0.0,195.31,273.69,0.0,1445.55,7
19039933,PREEMPT RTU 32OZ DISINF CS12,3425,232.5,25.0,0.0,0.0,3425.0,0.0,0.0,25,0.0,0.0,137.0,3425.0,25
19039938,PREEMPT CONC 1G DISINF CS4,3993.78,382,17.0,3993.78,0.0,0.0,17,0.0,0.0,234.93,0.0,0.0,3993.78,17
19040898,TOWEL SNGL FLD TRAD WHT 4000CS,1680.35,146.55,33.0,630.19,336.64,250.16,11,9,5,57.29,37.4,50.03,1216.99,25
19041170B,NITRILE HI RISK 6M 12 MD 50PK,5515.22,28.08,46.0,1722.76,1761.38,52.77,16,16,3,107.67,110.09,17.59,3536.91,35
19041170C,NITRILE HI RISK 6M 12 LG 50PK,1248.26,28.08,10.0,375.6,659.05,17.59,2,4,1,187.8,164.76,17.59,1052.24,7
19041171A,NITRILE 3M PF TEX XS 200PK,5055.84,49.99,25.0,866.26,2003.03,309.0,7,12,1,123.75,166.92,309.0,3178.29,20
19041171B,NITRILE 3M PF TEX SM 200PK,38658.82,49.99,263.0,14275.8,13292.53,4741.16,96,71,33,148.71,187.22,143.67,32309.49,200
19041171C,NITRILE 3M PF TEX MD 200PK,38129.48,49.99,306.0,11986.66,20878.67,4802.94,88,144,57,136.21,144.99,84.26,37668.27,289
19041171D,NITRILE 3M PF TEX LG 200PK,32372.38,49.99,243.0,10217.03,12506.83,3693.52,57,108,26,179.25,115.8,142.06,26417.38,191
19041171E,NITRILE 3M PF TEX XL 180PK,7683.26,49.99,73.0,3771.88,2622.34,511.07,33,28,2,114.3,93.66,255.53,6905.29,63
19041270C,NITRILE HI RISK 6M 12 LG 50PK,1613.87,21.9,29.0,220.0,316.98,135.7,1,2,1,220.0,158.49,135.7,672.68,4
19041272B,NITRILE EXAM W ALOE SM 100PK,1411.52,31.29,18.0,232.52,561.8,199.42,1,4,4,232.52,140.45,49.85,993.74,9
19042427,WYPALL WIPER BLUE 56 SHT/PK,4723.92,14.87,89.0,3873.28,68.79,0.0,59,1,0.0,65.65,68.79,0.0,3942.07,60
19043058,LAB COAT WHITE MEDIUM 25/CS,2021,344.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19043937,PURELL SANTZNG WIPES 175CT 6CS,1323.7,128.12,20.0,1323.7,0.0,0.0,20,0.0,0.0,66.19,0.0,0.0,1323.7,20
19044467A,GLOVE PF BL NITRILE S 100/PK,3293.43,43.07,17.0,870.77,1922.0,0.0,3,7,0.0,290.26,274.57,0.0,2792.77,10
