Catalog Number, Description, 2022, 2021, 2020, 2019
EN62248, DAPI SOLUTION, 145.38, 145.6, , 
ERGCR2330, ERGOLIGN SADDLE STOOL 23 IN T, 727.93, , , 
E0030106300, UVETTE 80/PK, 136.2, 136.15, , 
E0030124286, STRIPS 8-TUBE 0.2ML 120/CS, 242.82, 242.82, 247.55, 
E1274, METHYL T-BUTYL ETHER HPLC 4L, 250.5, 250.5, , 
E1344, ETHYL ETHER LABORATORY 4L, 102.47, 102.47, , 
E1381, ETHYL ETHER ANH R ACS 1L, 43.5, 43.5, 44.75, 
E13820, ETHYL ETHER ANH R ACS 20L, 169.57, 155.82, 160.31, 
E1384, ETHYL ETHER ANH R ACS 4L, 109.59, 109.59, 106.57, 
E138500, ETHY ETHER ANHYDROUS ACS 500ML, 31.1, 26.574479999999998, , 
E13920, PETROLEUM ETHER CERT ACS 20L, 153.71, 152.96, 157.37, 
E1394, PETROLEUM ETHER CERT ACS 4L, 58.53, 58.53, 56.25, 
E1454, ETHYL ACETATE CERT ACS 4L, 53.94, 45.33408, , 
E1784, ETHYLENE GLYCOL CERTIFIED 4L, 133.98, 133.98, 137.84, 
E1954, ETHYL ACETATE CERT ACS/HPLC4L, 45.44, 41.13, 42.31, 
E5242956003, MICROLOADER TIPS 2 X 96 PCS/PK, 184.08, 175.03, 193.05, 
E925000090, SAFELOCK 1.5ML PROTLOB 400/PK, 109.89, 108.67, , 102.0
E951020401, TWIN.TEC 96 W PLT SKRT CL 25CS, 110.54, 116.07, , 
FAB2815N025, MCCR10 A700 MAB (CL 248 25 TS, 126.51, , , 
FAB933R100U, HACE-2 PAB A647 100 UG, 420.46, , , 
FA10001MG, PIPETMAN L P2L STNLESSPIPETMA, 478.91, 478.91, , 
FA10002MG, PIPETMAN L P10L STNLESSPIPETM, 478.91, 478.91, 453.5, 
FA10002MTG, PIPETMAN L P10L STNLESS TRADE, 250.2, 239.76, , 
FA10003MG, PIPETMAN L P20L STNLESSPIPETM, 478.01, 478.01, , 
FA10005MG, PIPETMAN L P200L STNLESSPIPET, 478.91, 478.91, , 
FA10006MG, PIPETMAN L P1000L STNLESSPIPE, 478.91, 478.91, , 
FA10009G, PIPETMAN L P8X20L, 945.4, 945.4, , 
FA10015G, PIPETMAN L P8X300L, 940.41, 940.41, , 
FA10016TG, PIPETMAN L P12X300L TRADE IN, 813.78, , , 
FBE00020, FISHERBRAND ELITE 2-20UL, 179.67, 274.71, 272.87, 
FBE00100, FISHERBRAND ELITE 10-100UL, 274.71, 274.71, 272.87, 
FBE00200, FISHERBRAND ELITE 20-200UL, 274.71, 274.71, 272.87, 
FBE01000, FISHERBRAND ELITE 100-1000UL, 274.71, 274.71, 272.87, 
FBE05000, FISHERBRAND ELITE 0.5-5ML, 274.71, 274.71, 272.87, 
FBE10000, FISHERBRAND ELITE 1-10ML, 274.71, 274.71, 272.87, 
FBE1200010, FISHERBRAND ELIT 12-CH 1-10UL, 558.4, 830.92, , 
FBE1200300, FISHERBRANDELITE 12CH 30-300UL, 797.83, 797.83, 792.14, 
FBE800010, FISHERBRAND ELITE 8-CH 1-10UL, 640.0, 640.0, 635.63, 
FBE800050, FISHERBRAND ELITE 8-CH 5-50UL, 399.23, 383.01, , 
FBE800300, FISHERBRAND ELITE 8CH 30-300UL, 640.0, 640.0, 635.63, 
FBSB1316, MIDI-HORIZONTAL SYS 13X16CM, 629.54, 629.54, 626.99, 
FBSB710, MINI HORIZONTAL SYS 7X10CM, 265.94, 241.15, 240.74, 
FBV05RPSA, 5 CF ISOTEMP REF 115V/60HZ, 831.08, , , 
FB012921, 60MM TCDISH W/GRIP RING 600/CS, 100.69, 95.57, , 
FB012924, 100MM TCDISH W/GRP RING 300/CS, 88.15, 89.96, 88.46, 
FB012925, 150MM TC DISH 120/CS, 91.25, 81.08, , 
FB012927, 6 WELL TC MULTIDISH 100/CS, 78.93, 75.22, , 
FB012928, 12 WELL TC MULTIDISH 100/CS, 85.31, 86.89, , 
FB012929, 24 WELL TC MULTIDISH 100/CS, 92.9, 94.62, , 
FB012930, 48 WELL TC MULTIDISH 100/CS, 113.19, 115.43, , 
FB012931, 96F WELL TC MULTIDISH 100/CS, 117.81, 120.35, , 
FB012935, 25CM2 TC FLASK VENT CAP 200/CS, 94.96, 94.95, 93.39, 
FB012937, 75CM2 TC FLASK VENT CAP 100/CS, 93.12, 91.57, 90.12, 
FB012939, 182CM2 TC FLASK VENT CAP 40/CS, 73.74, 65.66, , 
FB02911948A, OBL 1000CC HDPE NAT PE 116/CS, 323.79, , , 
FB02911956A, OBL 250CC HDPE NAT PE 250/CS, 331.13, , , 
FB02912045, JAR AMB ST SD W/PTFE 4OZ 24/CS, 225.57, 233.43, , 
FB0875711A, 100X 15MM SQUARE 500/CS, 157.75, 134.87, 132.8, 132.8
FB0875711YZ, 35X10MMSTACKBLE PTRI DI 500CS, 87.18, 75.09, 73.89, 
FB0875712, PETRI DISH 100X15MM STACK 500, 60.12, 60.12, 58.99, 58.99
FB0875713, PETRI DISH100X15MMSLIP500CS, 60.14, 60.14, 59.01, 59.01
FB0875713A, PETRI DISH60X15MM500/CS, 47.42, 45.89, 45.01, 45.01
FB0875714, PETRI DISH150X15MM100/CS, 52.04, 49.49, 48.52, 48.52
FB101, CUVETTES PLUS 1MM GAP 50/PK, 75.92, 68.09, 57.23, 
FB102, CUVETTES PLUS 2MM GAP 50/PK, 75.92, 68.09, , 
FB104, CUVETTES PLUS 4MM GAP 50/PK, 75.92, 68.09, 57.23, 
FB12566500, FILTER PES 150ML 50MM 0.2UM, 65.68, 65.68, , 
FB12566502, FILTER PES 250ML 50MM 0.2UM, 75.37, 75.37, , 
FB12566504, FILTER PES 500ML 75MM 0.2UM, 94.84, 94.84, , 
FB12566506, FILTER PES 1000ML 90MM 0.2UM, 139.56, 139.56, 139.94, 
FB12566510, BTLTOP PES 500ML 75MM 0.2UM, 66.77, 66.77, , 
FB12999102, FB RESEARCH FBS CAN 500ML, 241.99, 252.26, , 
FB14955202, FB MOTORIZED PIPET FILLER, 314.67, 318.65, 312.71, 
FB300Q, POWER SUPPLY 400MA 300V, 564.07, 505.42, 504.45, 
FB300250, FLASK FILTERING 250ML 6/PK, 88.55, 91.32, , 129.78 (matched with similar item: 10180D)
FB6015865, FUNNEL GLS SHT STEM 65MM 12/PK, 97.26, 100.57, , 
FB800100, MEDIA BTL GS GL45 100 ML 10/CS, 43.19, 44.46, , 
FB8001000, MEDIA BTL GS GL45 1000ML 10/CS, 70.73, 73.25, 72.09, 
FB8002000, MEDIA BTL GLS GL45 2000ML 1/CS, 20.53, 21.18, , 
FB800250, MEDIA BTL GS GL45 250 ML 10/CS, 47.78, 49.34, , 
FB800500, MEDIA BTL GS GL45 500 ML 10/CS, 53.74, 55.68, 54.56, 
FB8005000, MEDIA BTL GLASS GL45 5L 1/CS, 63.5, 65.58, , 
FB966C, BUCHNER FUNNEL 87ML, 26.76, 28.45, , 
FERB49, 50X TAE BUFFER 1L, 91.28, 91.28, 88.95, 84.84
FEREL0011, T4 DNA LIGASE 5U UL 1000U, 212.7, 212.7, , 207.4
FEREL0013, T4 DNA LIGASE 30U/UL 5000U, 870.72, 870.72, , 
FEREL0014, T4 DNA LIGASE 5U/UL 200U, 66.72, 67.57, 65.97, 65.83
FEREN0362, UDG (UNG) 1U/UL 5X200U, 181.06, 181.06, , 
FEREN0521, DNASE I RNASE-FREE 1U/UL 1000U, 64.84, 64.84, 61.93, 59.57
FEREN0531, RNASE A DNASE FRE 10MG/ML 10MG, 45.84, 45.84, 43.67, 43.67
FEREO0381, RIBOLOCK RI 40U/UL 2500U, 72.17, 68.6, 66.72, 64.64
FEREO0382, RIBOLOCK RI 40U/UL 4X2500U, 256.99, 257.13, , 
FEREO0491, PROTEINASE K REC 1ML, 53.72, 53.72, , 50.17
FEREO0492, PROTEINASE K REC 5X1ML, 189.13, 189.13, 182.91, 176.55
FEREP0402, TAQ DNA POL REC 5U/UL 500U, 129.97, 127.35, , 
FEREP0405, TAQ DNA POL REC 5U/UL 5X500U, 483.13, 486.06, , 
FEREP0441, REVERTAID RT 200U/UL 10000U, 80.34, 80.64, , 74.7
FEREP0702, DREAMTAQ DNA POL 5U/UL 500U, 70.14, 71.43, , 66.75
FEREP0703, DREAMTAQ DNA POL 5U/UL 5X500U, 310.99, 315.71, 300.73, 
FEREP0752, MAXIMA H MINUS RT 10000U, 239.84, 235.77, , 
FEREP0753, MAXIMA H MINUS RT 4X10000U, 745.63, 747.94, , 
FERFD0454, FASTDIGEST BSMBI (ESP3I) 20UL, 74.83, 74.83, 72.26, 72.26
FERFD0594, FASTDIGEST NOTI 50UN, 73.95, 76.15, , 
FERK0171, PCR MASTER MIX 4X1.25ML, 136.97, 136.4, , 126.84
FERK0221, MAXIMA SYBR R QPCR 2X1.25ML, 178.98, 176.55, , 164.54
FERK0222, MAXIMA SYBR/R QPCR 10X1.25ML, 795.27, 783.22, 741.46, 721.5
FERK0251, MAXIMA SYBR QPCR 2X1.25ML, 188.18, 185.62, 175.79, 172.99
FERK0492, GENEJET PLASMID MAXI 25 PREPG, 458.01, 463.81, , 
FERK0502, GENEJET PL MINIPREP 50PREP, 73.3, 73.3, 70.16, 69.69
FERK0503, GENEJET PL MINIPREP 250PREP, 299.99, 299.99, 288.28, 282.59
FERK0691, GENEJET GEL EXTR 50PREP, 85.41, 85.41, 82.57, 79.31
FERK0692, GENEJET GEL EXTR 250PREP, 375.28, 375.28, 359.47, 348.12
FERK0701, GENEJET PCR PURIF 50PREP, 81.23, 81.23, 78.61, 78.61
FERK0702, GENEJET PCR PURIF 250PREP, 354.96, 365.72, 351.02, 348.18
FERK0722, GENEJET GENOMIC KIT 250 PREP, 554.37, 554.37, , 503.37
FERK0792, GENEJET PLANT GEN DNA 250 PRE, 689.52, 689.52, 623.26, 
FERK1072, DREAMTAQ MIX 20X1.25ML, 473.72, 480.44, 460.75, 
FERK1081, DREAMTAQ GREEN MIX 4X1.25ML, 106.52, 106.52, 102.83, 102.0
FERK1082, DREAMTAQ GREEN MIX 20X1.25ML, 516.74, 516.74, 497.0, 
FERK1232, CLONEJET PCR CLONING 40RXN, 288.87, 293.97, 280.3, 
FERK1621, REVERTAID KIT 20RXN, 96.08, 97.19, , 
FERK1622, REVERTAID KIT 100RXN, 391.71, 393.77, 373.32, 
FERK1641, MAXIMA CDNA SYNTH KIT 50RXN, 376.0, 373.27, , 
FERK2561, DS CDNA SYNTHESIS KIT, 487.71, 506.57, , 
FERK9012, DREAMTAQ HS MM 1000UN, 740.01, 752.73, , 
FERM1681, MAXIMA RT MASTER MIX 50 REACT, 399.55, 403.89, , 
FERR0181, DNTP SET 100MM 1ML, 187.62, 187.62, 181.24, 
FERR0192, DNTP MIX 10MM 1ML, 127.25, 127.25, 122.93, 
FERR0193, DNTP MIX 10MM 5X1ML4, 473.92, 480.93, , 
FERR0392, IPTG DIOXANE-FREE 5G, 186.66, 190.09, , 181.27
FERR0492, TOPVISION AGAROSE 500G, 535.73, 553.48, , 
FERR0531, TURBOFECT IN VITRO 1ML, 282.21, 282.32, , 252.69
FERR0551, GLYCOGEN RNA GRADE 2X0.1ML, 85.35, 86.46, 81.9, 
FERR0561, GLYCOGEN 2X0.25ML, 67.42, 67.42, , 63.87
FERR0581, WATER NUCLEASE-FREE 4X1.25ML, 17.64, 17.64, , 
FERR0611, 6X DNA LOADING DYE 5X1ML, 44.76, 44.76, 42.41, 
FERR0861, DTT 5G, 90.71, 90.71, , 86.56
FERR0941, X-GAL 20 MG ML 10ML, 131.3, 133.25, , 
FERR1121, DNTP MIX 25MM 1ML, 234.66, 241.47, 230.49, 
FERR2802, TOPVISION AGAROSE TABLETS, 579.62, 587.94, , 
FERSM0242, GENERULER 100BP 5X50UG, 234.87, 238.72, 229.78, 229.78
FERSM0243, GENERULER 100BP RTU 50UG, 73.12, 73.12, 71.6, 68.5
FERSM0244, GENERULER 100BP RTU 5X50UG, 327.7, 333.63, 321.31, 312.62
FERSM0311, GENERULER 1 KB 5X50UG, 148.15, 148.15, 141.79, 138.9
FERSM0313, GENERULER 1 KB RTU 5X50UG, 186.39, 186.39, 180.83, 172.63
FERSM0323, GENERULER 100BP PLUS RTU 50UG, 87.96, 87.96, 84.33, 82.7
FERSM0403, MASSRULER MIX 2X500UL, 142.63, 144.44, , 
FERSM1331, FERSM0231 1KB PLUS 5X50UG, 153.03, 153.03, 147.45, 140.8
FERSM1333, GENERULER 1KB PLUS RTU 5X50UG, 201.65, 204.78, 199.36, 190.56
FERSM1831, RIBORULER LR 5X20UL, 152.62, 157.2, , 146.51
FERSO142, RANDOM HEXAMER 100UM 120UL, 82.39, 82.39, , 
FFB100003, LITET FUSION FLUX - ULTRA PURE, 250.19, 239.89, 236.34, 
FSGPD05, ISOTEMP 5L GP BATH, 558.22, 558.22, 556.1, 
F110120G, MACROMAN, 279.24, , , 
F122L, PHIRE HOT START II POL 1000RXN, 733.69, 739.46, 660.3, 
F122S, PHIRE HOT START II POL 50UN, 157.15, 157.74, , 143.22
F123600G, PIPETMAN CLASSIC P20, 466.5, 452.2, 424.46, 
F123601G, PIPETMAN CLASSIC P200, 467.38, 452.2, 424.46, 
F126L, PHIRE GREEN HSII PCR MM, 955.26, 963.88, 912.61, 
F126S, PHIRE GREEN HSII PCR MM, 245.74, 247.48, 238.37, 
F144802G, PIPETMAN CLASSIC P10, 468.25, 453.13, 424.46, 
F148014G, CP250 10 TIPACKS 96 960PK, 487.66, 487.66, , 
F148112G, CP25 BOX OF 200 200PK, 95.07, 91.33, , 
F148312G, CP10 10 TIPACKS OF 96 960PK, 489.0, , , 
F148314G, CP100 10 TIPACKS 96 960PK, 487.66, 487.66, , 
F148560G, CP1000 2 TIPACKS 91 182PK, 104.18, 104.18, , 92.7
F160L, PHIRE PLANT DIRECT PCR MM, 656.85, 657.28, 628.44, 
F160S, PHIRE PLANT DIRECT PCR MM, 141.54, 143.27, 628.44 (matched with similar item: F160L), 
F161401G, CARROUSEL PIPETTE STAND (HOLDS, 109.83, 109.83, 101.37, 101.37
F164150G, DISTRITIP MAXI ST 50 SYRINGES, 108.67, 108.67, 92.76, 
F167370GPM, PIPETMAN L 4-PIPETTE KIT PM, 827.67, , , 
F170L, PHIRE TISSUE DIRECT PCR MM, 804.66, 809.57, 774.21, 
F171300G, D200 TIPACK 10 TIPACKS 96 2-20, 97.81, , , 
F1731001G, E10 TIPACK 960/PK, 28.83, 39.75 (matched with similar item: F1731002G), , 
F1732032G, EFL10ST-LR STERILIZED FILTER, 76.3, 76.3, , 
F1733032G, EF20ST-LR STERILIZD FLTR 768PK, 76.3, 76.3, , 
F1735032G, EF200ST-LR STERIL FILTR 768/PK, 76.3, 76.3, 78.5, 
F415L, DYNAMO FLASH SYBR QPCR 200 RXN, 426.74, 420.1, , 
F530L, PHUSION HIGH-FIDELITY POL 500U, 452.8, 452.8, 432.86, 421.05
F530S, PHUSION HIGH-FIDELITY POL 100U, 112.39, 112.39, 107.66, 105.02
F531L, PHUSION HF MASTER MIX 500 RXNS, 766.41, 766.41, 734.18, 
F531S, PHUSION HF MASTER MIX 100 RXNS, 193.07, 193.07, 184.99, 
F534L, PHUSION GREEN HF DNA POL, 436.13, 436.13, , 406.41
F537L, PHUSION GREEN HSII HF DNA POL, 556.25, 556.25, , 126.48 (matched with similar item: F537S)
F549L, PHUSION HOT START II 500U, 576.29, 585.2, 566.5, 544.0
F549S, PHUSION HOT START II 100U, 146.4, 146.4, 140.01, 136.0
F553L, PHUSION HF PCR KIT 200 RXNS, 263.24, 266.57, , 
F556L, PHUSION U GREEN HS POLYMERASE, 721.65, 189.37 (matched with similar item: F556S), , 
GSWG047S6, GSWG S-PAK MEMBRANE 600/PK, 361.3, 369.86, 393.2, 
G334, GLYCEROL CERTIFIED ACS 4L, 692.28, 692.28, 712.22, 
HABG01300, FILTER 13MM HABG 100/PK, 141.1, 143.52, 157.08, 
HAWG047S6, HAWG S-PAK MEMBRANE 600/PKHAW, 307.48, 313.93, 338.88, 
HAWP04700, FLT MCE.45UM WH PL 47MM 100/PK, 150.83, 152.68, 157.08, 
HAWP29325, MIX CELL FILTER .45UM 293 25PK, 454.29, , , 
HBGR337500, ACRYLAMIDE-BIS 30% 37:1 500ML, 67.14, 61.39, , 
HC7001GAL, HISTOPREP XYLENES 1GAL, 188.55, 188.55, , 
HC8001GAL, HISTOPREP 100% ALCOHOL 1 GAL, 90.72, 90.72, 93.33, 
HEN132C, HENGAR SELENIZED GRANULE 500GM, 445.67, , , 
HSTA00E, HTNF-A QKIT HS KIT 1 KT, 606.19, 582.228, 605.0, 
HS600C, HIL-6 QKIT HS KIT 1 KT, 606.19, 636.25, 609.0, 
HVLP04700, FLT DUR .45UM PHIL 47MM 100/PK, 173.71, 173.71, 178.71, 
H29120, HEXANES CERTIFIED 20L, 118.0, 96.27659999999999, 99.05, 
H29220, HEXANES ACS 20L METAL CAN, 98.36, 90.35, 92.95, 
H2924, HEXANES ACS 4L, 31.17, 31.17, 32.07, 
H3024, HEXANE CERT ACS/HPLC 4L, 46.96, 45.62, 46.93, 
H3034, HEXANE OPTIMA GRADE 4L, 54.57, 54.57, 52.16, 
H3064, N-HEXANE 95% OPTIMA 4L, 90.55, 84.96, 82.09, 
H325500, HYDROGN PEROX 30% CR ACS 500ML, 72.62, 72.62, 74.71, 
IB70042, AGAROSE MOL BIO GRADE - 500G, 427.56, 427.56, , 
ICN15910110, DOXORUBICIN 10MG, 232.69, 232.69, , 
ICN3050044, MYCOPLASMA REMOVAL AGENT 5ML, 296.52, 296.52, , 
ICN50494, LSM 5X100ML/PK, 255.83, 266.73, , 242.15
IPAKMETA1, IPAK META. POLISHING CARTRIDGE, 586.94, 588.37, , 
IPAKQUAA1, IPAK QUANTA. POLISHING CARTRID, 586.94, 588.37, , 
IPFL00010, IMMOBILON-FL MEMBRANE 3.75M RL, 451.46, 451.46, 464.46, 
IPVH00010, FLTR SHEET IPVH 1ROLL/PK, 417.55, 417.55, 429.58, 
IPVH07850, IMMOBILON P.45UM 7X8.4CM 50/PK, 430.14, 430.14, , 
IPVH85R, IMMOBILON-P 8.5 CM X 10 M ROL, 430.88, 440.49, , 
ISB1L, INSTANTBLUE PROTEIN STAIN-1 L, 278.94, 286.35, , 
ISEQ00010, IMMOBILON PSQ 26.5CMX3.75M RL, 417.55, 417.55, 429.58, 
JGWP04700, OMNIPORE PTFE 47MM .2UM 100/PK, 342.55, , , 
KGE004B, PGE2 ASSAY KIT 1 KT, 369.93, , , 
KGE007, SUBSTANCE P ASSAY KIT 1 KT, 395.7, 368.388, , 
KGE016, ALDOSTERONE ASSAY KIT 1 KT, 369.93, 359.0, , 
K2750600000, ADAPTER CONNECTING 1CS, 69.86, , , 
K2868100200, 200MM DISTILLATION COLUMN 1CS, 94.75, 94.75, 93.18, 
K3011000, FISHERTAB CT-37 1000 TB, 718.77, 718.77, 676.66, 
K4208301510, CHX COLUMN COMP 15X2.5CM 1CS, 340.26, , , 
K7495211500, PELLET PESTL ONLY 1.5ML 100/CS, 93.59, 93.59, , 89.29
K7495211590, RNAS FR PESTL ONLY 1.5ML 100CS, 131.08, 131.08, 128.49, 
K8853000002, TISSUE GRINDER COMP 2ML 1/CS, 175.68, 175.68, 172.04, 
LC157604, ISPRPYL ALCH 70% LABCHEM 4LT, 69.86, 67.24, , 
LC222104, REAGENT ALCOHOL 70% V/V 4L, 42.66, 41.37, , 
LC222105, REAG ALCH 70% LABCHEM 20LT, 180.87, 175.83, , 
LIG101, LQMN ASYD IMNASY LV1 6X5ML/PK, 538.75, 538.75, , 
LIG303, LQMN ASYD IMNASY LVL3 6X5ML/PK, 538.75, 538.75, , 
LS1184, WATER 0.1% FA OPTIMA LC/MS, 48.39, 48.39, 46.2, 
LS120212, ACETONITRILE 0.1% FA OPTIMA, 156.41, 156.41, , 
L4320116, CULTURE SWAB PLUS 50/PK, 43.34, 28.02, 28.04, 
L4320126, BBL CULSWAB+ AMIES MTIP50PK, 246.82, 168.59, , 
MAB100500, HCD3 MAB (CL UCH-T1) 500 UG, 845.69, 856.89, 788.64, 744.88
MAB13501, H/B/MINTEGRIN A6 MAB (C 100 UG, 399.0, 331.452, , 
MAB17061500, MSIGLEC-F MAB (CL 23804 500 UG, 845.69, , , 
MAB2852500, HIFN-G MAB (CL K3.53) 500 UG, 845.69, 799.0, , 
MAB3402MI, ANTI-GLIAL FIBRILLARY ACIDIC P, 395.9, 392.95, 395.02 (matched with similar item: AB5541MI), 
MAB342500, HCD28 MAB (CL 37407) 500 UG, 845.69, 825.15, 788.64, 744.88
MAB377MI, ANTI-NEUN ANTIBODY CLONE A60, 443.05, 435.47, , 
MAB413500, MIL-13 MAB (CL 38213) 500 UG, 845.69, 799.0, , 
MAB8234100, MIFN-B MAB (CL 1176D) 100 UG, 379.0, 349.0, , 
MAIPS4510, MLTSCRN IMM - P STER 10/PK, 293.38, 293.38, 282.87, 267.0
MA1046, ANTI-PSD-95, 431.97, 422.73, , 
MA121315, ANTI-6X-HIS EPITOPE TAG MONOCL, 228.02, 214.01, , 168.49
MA121315A48, 6X-HIS EPITOPE TAG AF488, 325.71, 323.83, , 224.33 (matched with similar item: MA1135A488)
MA1514, ANTI-ARYL HYDROCARBON RECEPTOR, 430.07, 421.57, 386.1, 
MA180331, ANTI-5-METHYLCYTIDINE MONOCLON, 609.92, 597.31, , 548.35
MA191124, ANTI-F4/80 MONOCLONAL ANTIBODY, 519.47, 505.49, , 
MCHT24H48, MILLICELL HANGING CELL CULTURE, 246.93, 248.49, 237.79, 225.06
MEX02763, ETHYL ALCOHOL ACS 4L, 407.48, 416.22, , 
MF2100, M/RFGF-21 QKIT 1 KT, 553.25, 524.88, 544.49, 526.09
MIHAWG100, MCROFL100ML HAWG Q150 ST 150PK, 232.41, , , 
MIR2300, TRANSIT LT-1 REAGENT 1ML, 412.33, 422.77, , 396.07
MIR5400, TRANSIT-2020 TRANSFECTION RGNT, 645.47, 645.47, , 591.48
MIR6000, TRANSIT-X2 - 1.5 ML, 820.93, 820.93, 799.58, 752.37
MJE00B, MMCP-1 QKIT 1 KT, 555.0, 586.39, , 
MK7019E4, REAGENT ALCOHOL DENATURED 4L, 128.35, 128.35, , 
MPGP02001, MILLIPAK EXPRESS 20, 273.76, 280.79, 266.08, 
MPGP04001, MILLIPAK EXPRESS 40 (1/PK), 264.38, 264.38, 272.0, 
MPTX20, MPTX2 QKIT 1 KT, 567.04, , , 
MP093050201, MYCOPLASMA PCR DETECTION KIT, 260.12, 257.94, , 
MP116540600, FASTDNA SPIN KIT 100 PREPS, 538.35, 540.51, , 
MP116560200, FASTDNA SPINKITFORSOIL 50PREPS, 482.08, 434.8, 409.0, 
MP116910100, LYSING MATRIX A 100X2 ML TUBES, 251.36, 262.28, , 
MP116914100, LYSING MATRIX E 100X2 ML TUBES, 256.99, 268.76, , 
MP216011025, DEXTRAN SULFATE NA SALT- 25GR, 445.35, 406.41, , 
MRCF0R100, DNA FAST FLOW - 100 PK, 494.51, 505.43, , 
MR015D, EMBRYOMAX M2 MEDIUM WITH PHENO, 31.36, 31.6, 32.9, 
MSIPS4W10, MULTISCREEN IP WHT STRL 10/PK, 270.59, 270.59, 271.82, 
MSIPS4510, MULTISCREEN IP CLR STRL 10PK, 271.5, 271.5, 270.92, 
MS391S1, ESTR RCPTR2 AB 500UL, 674.11, , , 
MT10009CV, CORNING MEM W/ 1.5 NAHCO3NEAA, 126.69, 126.69, , 124.13
MT10010CV, EMEM MOD /GLN 6X500ML 6/CS, 128.14, 128.14, 131.83, 
MT10013CM, DMEM W/GLN GLU PYR 1LT 6/CS, 153.06, 153.06, 157.47, 155.14
MT10013CV, DMEMW/GLN HIGLU PYR6X500 6/CS, 100.32, 92.17475999999999, 94.83, 90.31
MT10017CM, DMEMW/GLN HIG W/OPYR 6X1L 6/CS, 122.15, 122.15, , 123.82
MT10017CV, DMEM/GLNHGLU W/OPYR 6X500 6/CS, 71.41, 71.41, 73.47, 72.38
MT10022CV, AMEM W/ES GLN NA 6X500 6/CS, 219.7, 219.7, 226.03, 
MT10025CV, F12K W/GLN 6X500ML 6/CS, 202.99, 202.99, , 
MT10040CM, RPMI 1640 W/GLN 6X1L 6/CS, 131.7, 131.7, , 
MT10040CV, RPMI 1640 W/GLN 6X500ML 6/CS, 91.89, 91.89, 94.54, 90.04
MT10041CV, RPMI 1640W/GLNHPS 6X500 6/CS, 123.77, 123.77, , 
MT10050CV, MCCOYS 5A W/GLN 6X500ML 6/CS, 83.58, 83.58, 85.99, 84.71
MT10092CV, DMEM/F12 W/GLNHEPES 6X500 6/CS, 99.65, 95.05, 97.79, 96.34
MT15012CV, AMM W/ES W/O GLN NA 6X500 6/CS, 171.24, 171.24, , 
MT15017CV, DMM WHIGL WOGLN PYR 6X500 6/CS, 148.45, 148.45, , 
MT20031CV, DPBS 10X W/O CA MG 6X500 6/CS, 117.36, 108.56, 111.69, 106.37
MT21020CV, HANK'S BSS 1X 6X500ML 6/CS, 108.99, 108.99, , 
MT21022CM, HANKS BSS W/OCA MG PR 6X1 6/CS, 196.31, 196.31, 201.97, 
MT21031CM, DPBS 1X W/O CA MG 6X1L 6/CSDP, 99.56, 87.12035999999999, , 
MT21031CV, DPBS 1XSLN W/OCA MG 6X500 6/CS, 54.4, 49.82, 51.26, 50.5
MT21040CM, PBS 1X W/OCA MG 6X1L 6/CS, 129.42, 129.42, , 
MT21040CV, PBS 1X W/O CA MG 6X500 6/CSPB, 105.95, 97.98732, 100.81, 96.01
MT25052CI, TRYPSN-EDTA CMG 6X100 6/CS, 56.5, 56.5, 58.13, 57.27
MT25053CI, TRYPSIN/EDTA .25.1 6X100 6/CS, 46.02, 42.61, 43.84, 41.75
MT25060CI, HEPES BUFFER 1M SLN 6X100 6/CS, 258.44, 258.44, 265.88, 261.96
MT25072CV, LYMPHOCYTE SEP MED 1X500ML, 171.25, 171.25, 176.18, 
MT30002CI, PEN STRP 10000 6X100 6/CS, 130.31, 130.31, 134.06, 
MT30234CI, G418 SULFATE 50MG/ML, 593.92, 593.92, , 
MT30234CR, SOLN G418 50MG/ML 20ML, 179.59, 179.59, 184.76, 
MT30240CR, HYGROMYCIN B SOLUTION, 231.39, 231.39, , 
MT46013CM, 10X PBS BUFFERD SALN 1L 6CS, 263.97, 263.97, 271.57, 
MWX00041, WATER OMNISOLV 4LT, 186.77, , , 
M1000B, MIL-10 QKIT 1 KT, 668.71, 640.548, , 
M1011875000, AMMONIUM NITRATE EXTRA PURE 5, 690.8, , , 
M1055340001, TLC SILICA GEL 60 AL 100PC/EA, 331.62, 339.3, 320.79, 
M1057150001, TLC SILICA GEL 60 GLA 25PC/EA, 176.75, 180.04, , 
M1057350001, TLC SILICA GEL 60 F254 25PC/EA, 208.82, 213.3, , 
M1095350001, PH STRIPS PH 0 - 14 100STR/EA, 39.27, 29.99, 27.85, 
M1168350001, TLC SILICA GEL 60 ALUM 50PC/EA, 174.41, 178.38, , 
M1504380001, ZIC-PHILIC GUARD KIT PEEK 20X2, 735.11, 737.63, , 
M17321G, MIFEPRISTONE 1G, 153.69, , , 
M6000B, MIL-6 QKIT 1 KT, 668.71, 640.548, , 655.38
M81OZ, MAGNESIUM METAL RIBBON 1 OZ, 94.16, 94.16, , 
NBP275259, HUMAN CALCITONIN ELISA - 1 KIT, 632.9, , , 
NB030458, HUMAN REELIN ELISA KIT - 1 KIT, 632.9, , , 
NB1001028, AIF-1/IBA1 - 0.1 MG, 437.43, 477.2, , 
NB1002284, CD31/PECAM-1 - 0.1 ML, 437.43, 458.85, , 
NB10056350, 5-HT1B - 0.1 MG, 331.77, 343.85, , 
